start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,trip_count
11 St & Washington St,14 St Ferry - 14 St & Shipyard Ln,40.750073433,-74.027462363,40.75296063046496,-74.02435272932053,1
11 St & Washington St,2 St & Park Ave,40.749868512,-74.027395964,40.73915272763701,-74.0330819785595,1
11 St & Washington St,2 St & Park Ave,40.749983907,-74.02746892,40.73915272763701,-74.0330819785595,1
11 St & Washington St,2 St & Park Ave,40.74998490907138,-74.02715027332306,40.73915272763701,-74.0330819785595,100
11 St & Washington St,2 St & Park Ave,40.749994636,-74.027553797,40.73915272763701,-74.0330819785595,1
11 St & Washington St,2 St & Park Ave,40.750018954,-74.027332902,40.73915272763701,-74.0330819785595,1
11 St & Washington St,2 St & Park Ave,40.750074983,-74.027402043,40.73915272763701,-74.0330819785595,1
11 St & Washington St,2 St & Park Ave,40.75008142,-74.027607799,40.73915272763701,-74.0330819785595,1
11 St & Washington St,4 St & Grand St,40.749951839,-74.027552962,40.7422579775645,-74.03511106967926,1
11 St & Washington St,4 St & Grand St,40.74998490907138,-74.02715027332306,40.7422579775645,-74.03511106967926,139
11 St & Washington St,4 St & Grand St,40.749994993,-74.027226686,40.7422579775645,-74.03511106967926,1
11 St & Washington St,4 St & Grand St,40.750018597,-74.027300596,40.7422579775645,-74.03511106967926,1
11 St & Washington St,4 St & River St,40.749880433,-74.027401805,40.7408139,-74.0274062,1
11 St & Washington St,4 St & River St,40.749941587,-74.02743566,40.7408139,-74.0274062,1
11 St & Washington St,4 St & River St,40.749974132,-74.027392864,40.7408139,-74.0274062,1
11 St & Washington St,4 St & River St,40.749976993,-74.0272609,40.7408139,-74.0274062,1
11 St & Washington St,4 St & River St,40.74998490907138,-74.02715027332306,40.7408139,-74.0274062,182
11 St & Washington St,4 St & River St,40.749987006,-74.027185202,40.7408139,-74.0274062,1
11 St & Washington St,4 St & River St,40.75003469,-74.027154207,40.7408139,-74.0274062,1
11 St & Washington St,4 St & River St,40.750041962,-74.02727139,40.7408139,-74.0274062,1
11 St & Washington St,4 St & River St,40.750054002,-74.027435303,40.7408139,-74.0274062,1
11 St & Washington St,4 St & River St,40.75005579,-74.027315259,40.7408139,-74.0274062,1
11 St & Washington St,4 St & River St,40.750056028,-74.027312875,40.7408139,-74.0274062,1
11 St & Washington St,4 St & River St,40.750064373,-74.027296782,40.7408139,-74.0274062,1
11 St & Washington St,4 St & River St,40.750066042,-74.027328372,40.7408139,-74.0274062,1
11 St & Washington St,4 St & River St,40.750072837,-74.027264595,40.7408139,-74.0274062,1
11 St & Washington St,6 St & Grand St,40.749955297,-74.027536154,40.7443978330956,-74.03450086712837,1
11 St & Washington St,6 St & Grand St,40.74998490907138,-74.02715027332306,40.7443978330956,-74.03450086712837,91
11 St & Washington St,6 St & Grand St,40.749985695,-74.027173877,40.7443978330956,-74.03450086712837,1
11 St & Washington St,6 St & Grand St,40.749992847,-74.027288198,40.7443978330956,-74.03450086712837,1
11 St & Washington St,6 St & Grand St,40.749992847,-74.027251601,40.7443978330956,-74.03450086712837,1
11 St & Washington St,6 St & Grand St,40.750000596,-74.027301908,40.7443978330956,-74.03450086712837,1
11 St & Washington St,6 St & Grand St,40.750012279,-74.027285576,40.7443978330956,-74.03450086712837,1
11 St & Washington St,6 St & Grand St,40.750023127,-74.027250171,40.7443978330956,-74.03450086712837,1
11 St & Washington St,7 St & Monroe St,40.749757171,-74.027238131,40.74641264837719,-74.03797701001167,1
11 St & Washington St,7 St & Monroe St,40.749928117,-74.027306557,40.74641264837719,-74.03797701001167,1
11 St & Washington St,7 St & Monroe St,40.749944448,-74.027152658,40.74641264837719,-74.03797701001167,1
11 St & Washington St,7 St & Monroe St,40.749949455,-74.027174711,40.74641264837719,-74.03797701001167,1
11 St & Washington St,7 St & Monroe St,40.749956369,-74.027348518,40.74641264837719,-74.03797701001167,1
11 St & Washington St,7 St & Monroe St,40.749962807,-74.027196169,40.74641264837719,-74.03797701001167,1
11 St & Washington St,7 St & Monroe St,40.749977231,-74.027170658,40.74641264837719,-74.03797701001167,1
